Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,1µF,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.1,
"J1, J10, J11, J2, J3, J4, J5, J6, J7, J8, J9",PinHeader_1x02_P2.54mm_Vertical,11,Conn_01x02,
"R1, R10, R11, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,10,300,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100kΩ,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,4060,
